═══ LLM 社会模拟启动 ═══
  30 agents | 20x20 | 模型: qwen3-coder-plus
  最大 150 ticks | 并发 10

  第  0天 | 存活30 | 食物 64 | 消息0 | 攻击0 | 7.6s
  第 78天 | 存活30 | 食物131 | 消息0 | 攻击0 | 0.0s
  第 79天 | 存活30 | 食物135 | 消息0 | 攻击0 | 0.0s
  第 80天 | 存活30 | 食物139 | 消息0 | 攻击0 | 0.0s
    ┌─ 快照: 最强者 [萧默然 E622] [黄霁 E472] [周深海 E411] 
  第 81天 | 存活30 | 食物143 | 消息0 | 攻击0 | 0.0s
  第 82天 | 存活30 | 食物147 | 消息0 | 攻击0 | 0.0s
  第 83天 | 存活30 | 食物151 | 消息0 | 攻击0 | 0.0s
  第 84天 | 存活30 | 食物155 | 消息0 | 攻击0 | 0.0s
  第 85天 | 存活30 | 食物159 | 消息0 | 攻击0 | 0.0s
  第 86天 | 存活30 | 食物163 | 消息0 | 攻击0 | 0.0s
  第 87天 | 存活30 | 食物167 | 消息0 | 攻击0 | 0.0s
  第 88天 | 存活30 | 食物171 | 消息0 | 攻击0 | 0.0s
  第 89天 | 存活30 | 食物175 | 消息0 | 攻击0 | 0.0s
  第 90天 | 存活30 | 食物179 | 消息0 | 攻击0 | 0.0s
    ┌─ 快照: 最强者 [萧默然 E612] [黄霁 E462] [周深海 E401] 
  第 91天 | 存活30 | 食物183 | 消息0 | 攻击0 | 0.0s
  第 92天 | 存活30 | 食物187 | 消息0 | 攻击0 | 0.0s
  第 93天 | 存活30 | 食物191 | 消息0 | 攻击0 | 0.0s
  第 94天 | 存活30 | 食物195 | 消息0 | 攻击0 | 0.0s
  第 95天 | 存活30 | 食物199 | 消息0 | 攻击0 | 0.0s
  第 96天 | 存活30 | 食物203 | 消息0 | 攻击0 | 0.0s
  第 97天 | 存活30 | 食物207 | 消息0 | 攻击0 | 0.0s
  第 98天 | 存活30 | 食物211 | 消息0 | 攻击0 | 0.0s
  第 99天 | 存活30 | 食物215 | 消息0 | 攻击0 | 0.0s
  第100天 | 存活30 | 食物219 | 消息0 | 攻击0 | 0.0s
    ┌─ 快照: 最强者 [萧默然 E602] [黄霁 E452] [周深海 E391] 
  第101天 | 存活27 | 食物223 | 消息0 | 攻击0 | 0.0s
  第102天 | 存活26 | 食物227 | 消息0 | 攻击0 | 0.0s
  第103天 | 存活26 | 食物231 | 消息0 | 攻击0 | 0.0s
  第104天 | 存活26 | 食物235 | 消息0 | 攻击0 | 0.0s
  第105天 | 存活26 | 食物239 | 消息0 | 攻击0 | 0.0s
  第106天 | 存活26 | 食物243 | 消息0 | 攻击0 | 0.0s
  第107天 | 存活26 | 食物247 | 消息0 | 攻击0 | 0.0s
  第108天 | 存活26 | 食物251 | 消息0 | 攻击0 | 0.0s
  第109天 | 存活26 | 食物255 | 消息0 | 攻击0 | 0.0s
  第110天 | 存活26 | 食物259 | 消息0 | 攻击0 | 0.0s
    ┌─ 快照: 最强者 [萧默然 E592] [黄霁 E442] [周深海 E381] 
  第111天 | 存活26 | 食物263 | 消息0 | 攻击0 | 0.0s
  第112天 | 存活26 | 食物267 | 消息0 | 攻击0 | 0.0s
  第113天 | 存活26 | 食物271 | 消息0 | 攻击0 | 0.0s
  第114天 | 存活26 | 食物275 | 消息0 | 攻击0 | 0.0s
  第115天 | 存活26 | 食物279 | 消息0 | 攻击0 | 0.0s
  第116天 | 存活26 | 食物283 | 消息0 | 攻击0 | 0.0s
  第117天 | 存活26 | 食物287 | 消息0 | 攻击0 | 0.0s
  第118天 | 存活26 | 食物291 | 消息0 | 攻击0 | 0.0s
  第119天 | 存活26 | 食物295 | 消息0 | 攻击0 | 0.0s
  第120天 | 存活26 | 食物299 | 消息0 | 攻击0 | 0.0s
    ┌─ 快照: 最强者 [萧默然 E582] [黄霁 E432] [周深海 E371] 
  第121天 | 存活26 | 食物303 | 消息0 | 攻击0 | 0.0s
  第122天 | 存活26 | 食物307 | 消息0 | 攻击0 | 0.0s
  第123天 | 存活26 | 食物311 | 消息0 | 攻击0 | 0.0s
  第124天 | 存活26 | 食物315 | 消息0 | 攻击0 | 0.0s
  第125天 | 存活26 | 食物319 | 消息0 | 攻击0 | 0.0s
  第126天 | 存活26 | 食物323 | 消息0 | 攻击0 | 0.0s
  第127天 | 存活26 | 食物327 | 消息0 | 攻击0 | 0.0s
  第128天 | 存活26 | 食物331 | 消息0 | 攻击0 | 0.0s
  第129天 | 存活26 | 食物335 | 消息0 | 攻击0 | 0.0s
  第130天 | 存活26 | 食物339 | 消息0 | 攻击0 | 0.0s
    ┌─ 快照: 最强者 [萧默然 E572] [黄霁 E422] [周深海 E361] 
  第131天 | 存活25 | 食物343 | 消息0 | 攻击0 | 0.0s
  第132天 | 存活25 | 食物347 | 消息0 | 攻击0 | 0.0s
  第133天 | 存活25 | 食物351 | 消息0 | 攻击0 | 0.0s
  第134天 | 存活25 | 食物355 | 消息0 | 攻击0 | 0.0s
  第135天 | 存活25 | 食物359 | 消息0 | 攻击0 | 0.0s
  第136天 | 存活25 | 食物363 | 消息0 | 攻击0 | 0.0s
  第137天 | 存活25 | 食物367 | 消息0 | 攻击0 | 0.0s
  第138天 | 存活25 | 食物371 | 消息0 | 攻击0 | 0.0s
  第139天 | 存活25 | 食物375 | 消息0 | 攻击0 | 0.0s
  第140天 | 存活25 | 食物379 | 消息0 | 攻击0 | 0.0s
    ┌─ 快照: 最强者 [萧默然 E562] [黄霁 E412] [周深海 E351] 
  第141天 | 存活25 | 食物383 | 消息0 | 攻击0 | 0.0s
  第142天 | 存活25 | 食物387 | 消息0 | 攻击0 | 0.0s
  第143天 | 存活25 | 食物391 | 消息0 | 攻击0 | 0.0s
  第144天 | 存活25 | 食物395 | 消息0 | 攻击0 | 0.0s
  第145天 | 存活25 | 食物399 | 消息0 | 攻击0 | 0.0s
  第146天 | 存活25 | 食物403 | 消息0 | 攻击0 | 0.0s
  第147天 | 存活25 | 食物407 | 消息0 | 攻击0 | 0.0s
  第148天 | 存活25 | 食物411 | 消息0 | 攻击0 | 0.0s
  第149天 | 存活25 | 食物415 | 消息0 | 攻击0 | 0.0s

  结果已保存至 /Users/ddd/Desktop/llm-society/
    events.json  — 全量事件日志
    population.json — 人口曲线
    agents.json — agent 档案

════════════════════════════════════════════════════════════
  终 局 报 告
════════════════════════════════════════════════════════════

  总人口: 30 (初始30 + 繁殖0)
  存活: 25 | 死亡: 5
  总消息数: 0
  总攻击数: 0
  总繁殖数: 0

  ── 综合排行（食物+击杀+后代）──
    1. ♥ 萧默然 | 代0 | 活149天 | 吃22 杀0 娃0 话0
    2. ♥ 黄霁 | 代0 | 活149天 | 吃17 杀0 娃0 话0
    3. ♥ 周深海 | 代0 | 活149天 | 吃15 杀0 娃0 话0
    4. ♥ 刘听风 | 代0 | 活149天 | 吃15 杀0 娃0 话0
    5. ♥ 郑一帆 | 代0 | 活149天 | 吃14 杀0 娃0 话0
    6. ♥ 钱澄 | 代0 | 活149天 | 吃13 杀0 娃0 话0
    7. ♥ 林晚 | 代0 | 活149天 | 吃12 杀0 娃0 话0
    8. ♥ 冯未迟 | 代0 | 活149天 | 吃11 杀0 娃0 话0

════════════════════════════════════════════════════════════
